queue_id,priority,canton_code,bfs_code,municipality,district,degurb2021,canonical_portal_url,platform_family,portal_audit_status,green_unit_hint,search_query_1,search_query_2,acceptance_test
CITY-AG-4001,P0,AG,4001,Aarau,Bezirk Aarau,1,,TO_DISCOVER,PENDING,,"""Aarau"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Aarau"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4021,P0,AG,4021,Baden,Bezirk Baden,2,,TO_DISCOVER,PENDING,,"""Baden"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Baden"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4095,P0,AG,4095,Brugg,Bezirk Brugg,2,,TO_DISCOVER,PENDING,,"""Brugg"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Brugg"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4201,P0,AG,4201,Lenzburg,Bezirk Lenzburg,2,,TO_DISCOVER,PENDING,,"""Lenzburg"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Lenzburg"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4254,P0,AG,4254,Möhlin,Bezirk Rheinfelden,2,,TO_DISCOVER,PENDING,,"""Möhlin"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Möhlin"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4280,P0,AG,4280,Oftringen,Bezirk Zofingen,2,,TO_DISCOVER,PENDING,,"""Oftringen"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Oftringen"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4258,P0,AG,4258,Rheinfelden,Bezirk Rheinfelden,2,,TO_DISCOVER,PENDING,,"""Rheinfelden"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Rheinfelden"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4282,P0,AG,4282,Rothrist,Bezirk Zofingen,2,,TO_DISCOVER,PENDING,,"""Rothrist"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Rothrist"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4040,P0,AG,4040,Spreitenbach,Bezirk Baden,2,,TO_DISCOVER,PENDING,,"""Spreitenbach"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Spreitenbach"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
CITY-AG-4012,P0,AG,4012,Suhr,Bezirk Aarau,1,,TO_DISCOVER,PENDING,,"""Suhr"" (""offene Stellen"" OR Jobs) (Gärtner OR Werkhof OR Grünpflege)","""Suhr"" (Stadtgrün OR Stadtgärtnerei OR Werkhof OR Werkdienst OR Friedhof) Stelle","Localizar portal oficial, plataforma ATS, URL de listado, ID nativo, paginación y términos de automatización."
