seed_id,observed_at,published_date,employer,employer_level,employment_relationship,title,workload,location,canton,role_family,public_service_area,qualification_signal,access_level,posting_status,source_name,source_type,source_url,canonical_url_status,notes
SEED-001,2026-08-07T11:00:00+02:00,,Stadt Winterthur,CITY,PUBLIC_DIRECT,Gärtner:in Gartenunterhalt (80-100 %),80-100,Winterthur,ZH,GARDEN_MAINTENANCE,PARKS;GREEN_SPACES;SCHOOLS,Gärtner/in EFZ; experience,A5,ACTIVE_OBSERVED,Stadt Winterthur Jobportal,OFFICIAL_DIRECT,https://jobs.winterthur.ch/?yid=8293,CANONICAL,Direct official listing.
SEED-002,2026-08-07T11:00:00+02:00,,Stadt Winterthur,CITY,PUBLIC_DIRECT,Gärtner:in Gartenunterhalt (100 %),100,Winterthur,ZH,GARDEN_MAINTENANCE,GREEN_SPACES;BIODIVERSITY,Gärtner EFZ,A5,ACTIVE_OBSERVED,Stadt Winterthur Jobportal,OFFICIAL_DIRECT,https://jobs.winterthur.ch/?yid=8280,CANONICAL,Direct official listing.
SEED-003,2026-08-07T11:00:00+02:00,,Stadt Winterthur,CITY,PUBLIC_DIRECT,Baumpflegespezialist:in (80-100 %),80-100,Winterthur,ZH,TREE_CARE,TREE_CARE;TREE_PROTECTION,Tree care/forestry/garden qualification,A5-A6,ACTIVE_OBSERVED,Stadt Winterthur Jobportal,OFFICIAL_DIRECT,https://jobs.winterthur.ch/?yid=8338,CANONICAL,Direct official listing.
SEED-004,2026-08-07T11:00:00+02:00,,Stadt Winterthur,CITY,PUBLIC_DIRECT,"Gärtner:in EFZ, Vorarbeiter:in (100 %)",100,Winterthur,ZH,LEADERSHIP,GREEN_SPACES,Gärtner EFZ + foreman/head gardener training,A6,ACTIVE_OBSERVED,Stadt Winterthur Jobportal,OFFICIAL_DIRECT,https://jobs.winterthur.ch/?yid=8101,CANONICAL,Direct official listing; page still listed on portal.
SEED-005,2026-08-07T11:00:00+02:00,2026-07-31,Grün Stadt Zürich,CITY,PUBLIC_DIRECT,"Fachbearbeiter*in Baumschutz, 80–100 % (Ref. 51057)",80-100,Zürich,ZH,TREE_CARE,TREE_PROTECTION,Gärtner/Forst EFZ + specialist profile,A5-A6,ACTIVE_OBSERVED,g’plus,SECTOR_DISCOVERY,https://www.gplus.ch/de/stellenboerse/offene-stellen/index.php,CANONICAL_EMPLOYER_PORTAL_KNOWN,Reference 51057; resolve individual SuccessFactors URL in collector.
SEED-006,2026-08-07T11:00:00+02:00,2026-07-28,Grün Stadt Zürich,CITY,PUBLIC_DIRECT,Gartenbau-Maschinist*in / Greenkeeper (Ref. 50058),,Zürich,ZH,SPORT_GREEN,SPORT_FIELDS;PARKS;SCHOOLS,Gärtner/Betriebsunterhalt EFZ + Greenkeeper,A4-A6,ACTIVE_OBSERVED,g’plus,SECTOR_DISCOVERY,https://www.gplus.ch/de/stellenboerse/offene-stellen/index.php,CANONICAL_EMPLOYER_PORTAL_KNOWN,Reference 50058.
SEED-007,2026-08-07T11:00:00+02:00,2026-07-23,Grün Stadt Zürich,CITY,PUBLIC_DIRECT,Gruppenleiter*in (Ref. 49577),,Zürich,ZH,LEADERSHIP,CEMETERY;PARKS,Gärtner EFZ + experience/leadership,A6,ACTIVE_OBSERVED,g’plus,SECTOR_DISCOVERY,https://www.gplus.ch/de/stellenboerse/offene-stellen/index.php,CANONICAL_EMPLOYER_PORTAL_KNOWN,Reference 49577; cemetery and park maintenance.
SEED-008,2026-08-07T11:00:00+02:00,2026-07-23,Grün Stadt Zürich,CITY,PUBLIC_DIRECT,Gartenbau-Maschinist*in / Greenkeeper (Ref. 49858),,Zürich,ZH,SPORT_GREEN,SPORT_FIELDS;SCHOOLS,Garden/technical profile,A4-A6,ACTIVE_OBSERVED,g’plus,SECTOR_DISCOVERY,https://www.gplus.ch/de/stellenboerse/offene-stellen/index.php,CANONICAL_EMPLOYER_PORTAL_KNOWN,"Reference 49858; distinct region from 50058, not an automatic duplicate."
SEED-009,2026-08-07T11:00:00+02:00,2026-07-21,Grün Stadt Zürich,CITY,PUBLIC_DIRECT,Gärtner*in (Ref. 50017),,Zürich,ZH,GARDEN_MAINTENANCE,GREEN_SPACES;CEMETERY,Gärtner EFZ Garten- und Landschaftsbau,A4-A5,ACTIVE_OBSERVED,g’plus,SECTOR_DISCOVERY,https://www.gplus.ch/de/stellenboerse/offene-stellen/index.php,CANONICAL_EMPLOYER_PORTAL_KNOWN,Reference 50017.
SEED-010,2026-08-07T11:00:00+02:00,2026-07-14,Stadt Schaffhausen / Grün Schaffhausen,CITY,PUBLIC_DIRECT,Gärtnerin / Gärtner (80–100 %),80-100,Schaffhausen,SH,GREEN_SPACE_MAINTENANCE,PARKS;SPORT_GREEN;GREEN_ROOFS,Gärtner EFZ,A4-A5,ACTIVE_OBSERVED,Stadt Schaffhausen / g’plus,OFFICIAL_DIRECT,https://jobs.stadt-schaffhausen.ch/jobs/gaertnerin-gaertner-5134/,CANONICAL,Direct public job.
