universe_id,employer_level,country_code,canton_code,canton_name,bfs_code,employer_name,district,bfs_language_region_code,language_region,statistical_city,degurb2021,priority_tier,expected_green_service_units,canonical_portal_status,canonical_portal_url,portal_platform,verification_status,notes
PUB-CH-BUND,FEDERAL,CH,,,,Schweizerische Eidgenossenschaft / Bund,,,MULTILINGUAL,,,P0,Bundesimmobilien;Schweizer Armee;Agroscope;ASTRA;Sportanlagen;Arealpflege;Forst;Gärten,VERIFIED,https://jobs.admin.ch/,FEDERAL_JOB_PORTAL,VERIFIED_OFFICIAL_PORTAL,"Buscar también títulos ocultos: Gebäudebetrieb, Arealpflege, Betriebsunterhalt, Anlagenwart."
PUB-CH-AG-CANTON,CANTON,CH,AG,Aargau,,Kanton Aargau,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.ag.ch/de/ueber-uns/jobs-karriere/offene-stellen,CANTON_AG_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-AI-CANTON,CANTON,CH,AI,Appenzell Innerrhoden,,Kanton Appenzell Innerrhoden,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.ai.ch/themen/arbeiten-bei-der-kantonalen-verwaltung/offene-stellen-1,OFFICIAL_WEB,VERIFIED_BY_OFFICIAL_SEARCH_RESULT,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-AR-CANTON,CANTON,CH,AR,Appenzell Ausserrhoden,,Kanton Appenzell Ausserrhoden,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://ar.ch/verwaltung/departement-finanzen/personalamt/freie-stellen/,SOLIQUE_EMBEDDED,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-BE-CANTON,CANTON,CH,BE,Bern,,Kanton Bern,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.jobs.sites.be.ch/de/start/jobs.html,SITES_BE,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-BL-CANTON,CANTON,CH,BL,Basel-Landschaft,,Kanton Basel-Landschaft,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.baselland.ch/politik-und-behorden/direktionen/finanz-und-kirchendirektion/personalamt/jobs/offene-stellen,PROSPECTIVE_UMANTIS_LINKED,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-BS-CANTON,CANTON,CH,BS,Basel-Stadt,,Kanton Basel-Stadt,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://jobs.arbeitgeber.bs.ch/,BS_EMPLOYER_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-FR-CANTON,CANTON,CH,FR,Fribourg/Freiburg,,Kanton Fribourg/Freiburg,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://jobs.fr.ch/?locale=de_DE,FR_MIGRATION_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-GL-CANTON,CANTON,CH,GL,Glarus,,Kanton Glarus,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://www.gl.ch/verwaltung/finanzen-und-gesundheit/personal-und-organisation/stellenangebote.html/4705,UMANTIS_LINKED,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
PUB-CH-GR-CANTON,CANTON,CH,GR,Graubünden,,Kanton Graubünden,,1,GERMAN_SCOPE_PRESENT,,,P0,Tiefbauamt;Strassenunterhalt;Werkhöfe;Liegenschaften;Forst;Natur;Arealpflege;Winterdienst,VERIFIED,https://stellen.gr.ch/,CANTON_GR_PORTAL,VERIFIED_OFFICIAL_PORTAL,Portal cantonal; filtrar por ocupaciones verdes y títulos de mantenimiento.
