term_id,canonical_role_family,canonical_specialization,search_term_de,term_type,include_default,public_relevance,default_access_level_hint,notes
T001,GARDENING,GENERAL,Gärtner,TITLE,YES,HIGH,A3-A5,
T002,LANDSCAPE_GARDENING,GENERAL,Landschaftsgärtner,TITLE,YES,HIGH,A3-A5,
T003,LANDSCAPE_GARDENING,CONSTRUCTION,Garten- und Landschaftsbau,TITLE_OR_TEXT,YES,HIGH,A3-A5,
T004,GARDEN_MAINTENANCE,GENERAL,Gartenunterhalt,TITLE_OR_TEXT,YES,HIGH,A1-A5,
T005,GARDEN_MAINTENANCE,GENERAL,Unterhaltsgärtner,TITLE,YES,HIGH,A2-A5,
T006,GARDEN_MAINTENANCE,CUSTOMER_GARDENS,Kundengärtner,TITLE,YES,MEDIUM,A4-A6,
T007,GREEN_SPACE_MAINTENANCE,PUBLIC_GREEN,Grünpflege,TITLE_OR_TEXT,YES,VERY_HIGH,A1-A5,
T008,GREEN_SPACE_MAINTENANCE,PUBLIC_GREEN,Grünflächenpflege,TITLE_OR_TEXT,YES,VERY_HIGH,A1-A5,
T009,GREEN_SPACE_MAINTENANCE,PARKS,Parkpflege,TITLE_OR_TEXT,YES,VERY_HIGH,A1-A5,
T010,GREEN_SPACE_MAINTENANCE,AREAS,Arealpflege,TITLE_OR_TEXT,YES,VERY_HIGH,A1-A5,
T011,CEMETERY_GREEN,CEMETERY,Friedhofgärtner,TITLE,YES,VERY_HIGH,A3-A5,
T012,CEMETERY_GREEN,CEMETERY,Friedhofunterhalt,TITLE_OR_TEXT,YES,VERY_HIGH,A1-A5,
T013,TREE_CARE,ARBORICULTURE,Baumpfleger,TITLE,YES,VERY_HIGH,A4-A6,
T014,TREE_CARE,ARBORICULTURE,Baumpflegespezialist,TITLE,YES,VERY_HIGH,A5-A6,
T015,TREE_CARE,TREE_PROTECTION,Baumschutz,TITLE_OR_TEXT,YES,VERY_HIGH,A5-A7,
T016,SPORT_GREEN,GREENKEEPING,Greenkeeper,TITLE,YES,VERY_HIGH,A3-A6,
T017,SPORT_GREEN,SPORT_FIELDS,Sportrasenpflege,TITLE_OR_TEXT,YES,VERY_HIGH,A2-A6,
T018,PLANT_PRODUCTION,GENERAL,Pflanzenproduktion,TITLE_OR_TEXT,YES,HIGH,A3-A5,
T019,PLANT_PRODUCTION,NURSERY,Baumschule,TITLE_OR_TEXT,YES,MEDIUM,A3-A6,
T020,PLANT_PRODUCTION,ORNAMENTALS,Zierpflanzen,TITLE_OR_TEXT,YES,MEDIUM,A3-A5,
T021,PLANT_PRODUCTION,PERENNIALS,Staudengärtner,TITLE,YES,MEDIUM,A4-A6,
T022,PUBLIC_WORKS,MUNICIPAL_YARD,Mitarbeiter Werkhof,HIDDEN_PUBLIC_TITLE,YES,VERY_HIGH,A1-A5,Clasificar por tareas; no todo Werkhof es jardinería.
T023,PUBLIC_WORKS,MUNICIPAL_SERVICE,Mitarbeiter Werkdienst,HIDDEN_PUBLIC_TITLE,YES,VERY_HIGH,A1-A5,
T024,PUBLIC_WORKS,MUNICIPAL_SERVICE,Gemeindearbeiter,HIDDEN_PUBLIC_TITLE,YES,VERY_HIGH,A1-A5,
T025,PUBLIC_WORKS,MUNICIPAL_SERVICE,Gemeindemitarbeiter,HIDDEN_PUBLIC_TITLE,YES,HIGH,A1-A5,
T026,PUBLIC_WORKS,FACILITY_MAINTENANCE,Fachmann Betriebsunterhalt,HIDDEN_PUBLIC_TITLE,YES,VERY_HIGH,A3-A5,Separar Werkdienst y Hausdienst.
T027,PUBLIC_WORKS,FACILITY_MAINTENANCE,Fachfrau Betriebsunterhalt,HIDDEN_PUBLIC_TITLE,YES,VERY_HIGH,A3-A5,Separar Werkdienst y Hausdienst.
T028,PUBLIC_WORKS,ROADS,Strassenunterhalt,HIDDEN_PUBLIC_TITLE,CONDITIONAL,HIGH,A1-A5,Incluir si hay Grünpflege/Arealpflege.
T029,PUBLIC_WORKS,OUTDOOR_FACILITIES,Aussenanlagen,HIDDEN_PUBLIC_TITLE,CONDITIONAL,VERY_HIGH,A1-A5,
T030,PUBLIC_WORKS,FACILITY_MAINTENANCE,Anlagenwart,HIDDEN_PUBLIC_TITLE,CONDITIONAL,HIGH,A2-A5,
T031,PUBLIC_WORKS,FACILITY_MAINTENANCE,Gebäudebetrieb,HIDDEN_PUBLIC_TITLE,CONDITIONAL,HIGH,A2-A5,Incluir cuando tareas contengan Grün-/Arealpflege.
T032,PUBLIC_WORKS,SPORT_FACILITIES,Sportanlagenunterhalt,HIDDEN_PUBLIC_TITLE,YES,VERY_HIGH,A2-A5,
T033,PUBLIC_WORKS,SCHOOL_FACILITIES,Schulanlagen,TEXT_SIGNAL,CONDITIONAL,HIGH,A1-A5,
T034,PUBLIC_WORKS,WINTER_SERVICE,Winterdienst,TEXT_SIGNAL,CONDITIONAL,HIGH,A1-A5,No basta por sí solo; señal complementaria.
T035,NATURE_MAINTENANCE,INVASIVE_SPECIES,Neophytenbekämpfung,TITLE_OR_TEXT,YES,HIGH,A1-A5,
T036,NATURE_MAINTENANCE,BIODIVERSITY,Biodiversität,TEXT_SIGNAL,CONDITIONAL,HIGH,A2-A7,
T037,NATURE_MAINTENANCE,GENERAL,Naturunterhalt,TITLE_OR_TEXT,YES,HIGH,A1-A5,
T038,PUBLIC_GREEN_ORG,CITY_GREEN,Stadtgrün,ORGANIZATION_SIGNAL,YES,VERY_HIGH,NA,
T039,PUBLIC_GREEN_ORG,CITY_NURSERY,Stadtgärtnerei,ORGANIZATION_SIGNAL,YES,VERY_HIGH,NA,
T040,PUBLIC_GREEN_ORG,CITY_GREEN,Grün Stadt,ORGANIZATION_SIGNAL,YES,VERY_HIGH,NA,
T041,PUBLIC_GREEN_ORG,MUNICIPAL_OPERATIONS,Gemeindebetriebe,ORGANIZATION_SIGNAL,YES,HIGH,NA,
T042,HELPER,GARDENING,Hilfsgärtner,TITLE,YES,MEDIUM,A1,
T043,HELPER,GARDENING,Gartenarbeiter,TITLE,YES,MEDIUM,A1-A2,
T044,HELPER,GARDENING,Hilfs-Gartenbauer,TITLE,YES,MEDIUM,A1-A2,
T045,LEADERSHIP,FOREMAN,Vorarbeiter Gärtner,TITLE,YES,HIGH,A6,
T046,LEADERSHIP,HEAD_GARDENER,Obergärtner,TITLE,YES,HIGH,A6,
T047,LEADERSHIP,TEAM_LEAD,Teamleiter Landschaftsgärtner,TITLE,YES,HIGH,A6,
T048,LEADERSHIP,PROJECT_MANAGEMENT,Projektleiter Gartenbau,TITLE,YES,MEDIUM,A7,
X001,EXCLUDE,FLORISTRY,Florist,EXCLUSION,NO,LOW,NA,Excluir salvo que el puesto incluya mantenimiento verde material.
X002,EXCLUDE,AGRICULTURE,Landwirtschaft,EXCLUSION,CONDITIONAL,LOW,NA,Incluir sólo si las tareas verdes son materiales.
X003,EXCLUDE,FORESTRY,Forstwart,EXCLUSION,CONDITIONAL,MEDIUM,NA,Mantener cohorte separada; puede solaparse con arboricultura.
X004,EXCLUDE,INDOOR_CLEANING,Reinigung,EXCLUSION,NO,LOW,NA,
X005,EXCLUDE,OFFICE,Sachbearbeitung Gartenbau,EXCLUSION,NO,LOW,NA,No es trabajo operativo de jardinería.
