reference_id,reference_type,reference_scope,qualification_level,currency,gross_net,amount_monthly,payments_per_year,amount_annual,amount_hourly_base,valid_from,valid_to,applicability,source_tier,source_url,notes
SALREF-GAV-GALABAU-LEAD-2026,GAV_MINIMUM,"Garten-, Landschafts- und Sportplatzbau",LEADING_WITH_FEDERAL_SPECIALIST_CERTIFICATE,CHF,GROSS,5275,13,68575,,2026-01-01,2026-12-31,ONLY_WHERE_RELEVANT_GAV_APPLIES,OFFICIAL_PRIMARY,https://jardinsuisse.ch/documents/17326/2d1_I_PE_Lohnregulativ_Galabau_2026_d.pdf,No contractual wage tier for master gardeners/business managers; this row is for qualified leading employees actually employed in a leading function.
SALREF-GAV-GALABAU-EFZ-2026,GAV_MINIMUM,"Garten-, Landschafts- und Sportplatzbau",EFZ,CHF,GROSS,4875,13,63375,26.8,2026-01-01,2026-12-31,ONLY_WHERE_RELEVANT_GAV_APPLIES,OFFICIAL_PRIMARY,https://jardinsuisse.ch/documents/17326/2d1_I_PE_Lohnregulativ_Galabau_2026_d.pdf,"Possible reduction up to CHF 250/month in first three years after apprenticeship due to lack of experience, subject to GAV conditions."
SALREF-GAV-GALABAU-EBA-2026,GAV_MINIMUM,"Garten-, Landschafts- und Sportplatzbau",EBA,CHF,GROSS,4200,13,54600,23.1,2026-01-01,2026-12-31,ONLY_WHERE_RELEVANT_GAV_APPLIES,OFFICIAL_PRIMARY,https://jardinsuisse.ch/documents/17326/2d1_I_PE_Lohnregulativ_Galabau_2026_d.pdf,"Possible reductions of CHF 150/100/50 in years 1/2/3 after qualification, subject to GAV conditions."
SALREF-GAV-GALABAU-WORKER-2026,GAV_MINIMUM,"Garten-, Landschafts- und Sportplatzbau",GARDEN_WORKER,CHF,GROSS,4000,13,52000,22.0,2026-01-01,2026-12-31,ONLY_WHERE_RELEVANT_GAV_APPLIES,OFFICIAL_PRIMARY,https://jardinsuisse.ch/documents/17326/2d1_I_PE_Lohnregulativ_Galabau_2026_d.pdf,Hourly base excludes separate holiday/public-holiday and 13th-month components.
SALREF-GAV-NURSERY-LEAD-2026,GAV_MINIMUM,Baumschulen,LEADING_WITH_FEDERAL_SPECIALIST_CERTIFICATE,CHF,GROSS,5200,13,67600,,2026-01-01,2026-12-31,ONLY_WHERE_RELEVANT_GAV_APPLIES,OFFICIAL_PRIMARY,https://jardinsuisse.ch/documents/17359/2d1_I_PE_Lohnregulativ_BS_2026_d_Q3D0o0O.pdf,Qualified leading employees actually employed in a leading function.
SALREF-GAV-NURSERY-EFZ-2026,GAV_MINIMUM,Baumschulen,EFZ,CHF,GROSS,4500,13,58500,24.5,2026-01-01,2026-12-31,ONLY_WHERE_RELEVANT_GAV_APPLIES,OFFICIAL_PRIMARY,https://jardinsuisse.ch/documents/17359/2d1_I_PE_Lohnregulativ_BS_2026_d_Q3D0o0O.pdf,"Possible reduction up to CHF 200/month in first three years after apprenticeship, subject to GAV conditions."
SALREF-GAV-NURSERY-EBA-2026,GAV_MINIMUM,Baumschulen,EBA,CHF,GROSS,3700,13,48100,20.1,2026-01-01,2026-12-31,ONLY_WHERE_RELEVANT_GAV_APPLIES,OFFICIAL_PRIMARY,https://jardinsuisse.ch/documents/17359/2d1_I_PE_Lohnregulativ_BS_2026_d_Q3D0o0O.pdf,Possible reductions of CHF 150/100/50 in years 1/2/3 after qualification.
SALREF-GAV-NURSERY-WORKER-2026,GAV_MINIMUM,Baumschulen,NURSERY_WORKER,CHF,GROSS,3550,13,46150,19.3,2026-01-01,2026-12-31,ONLY_WHERE_RELEVANT_GAV_APPLIES,OFFICIAL_PRIMARY,https://jardinsuisse.ch/documents/17359/2d1_I_PE_Lohnregulativ_BS_2026_d_Q3D0o0O.pdf,Aushilfen base hourly minimum is CHF 17.70 under this regulation.
SALREF-GAV-PRODUCTION-EFZ-2026,GAV_MINIMUM,Pflanzenproduktion / Gärtnerischer Detailhandel,EFZ,CHF,GROSS,4500,13,58500,24.5,2026-01-01,2026-12-31,ONLY_WHERE_RELEVANT_GAV_APPLIES,OFFICIAL_PRIMARY,https://jardinsuisse.ch/documents/17360/2d1_I_PE_Lohnregulativ_Prod_2026_d_ehBc7ma.pdf,Production/detail retail regulation; do not transfer automatically to GaLaBau.
SALREF-MARKET-JOBSCH-GARDENER-CH-2026-08-07,MARKET_BENCHMARK,"Switzerland, full-time gardener, all sectors",MIXED,CHF,GROSS,,,60000,,,,STATISTICAL_ONLY_NOT_AN_OFFER_OR_FLOOR,JOB_BOARD_STATISTICAL,https://www.jobs.ch/de/lohn/?canton=ch&term=g%C3%A4rtner,"Average based on 945 salary entries; includes bonuses and 13th salary. Not a role-, canton- or employer-specific promised wage."
SALREF-PUBLIC-ZURICH-GARDENER-REF50017-2026,ADVERTISED_SALARY_EXAMPLE,"Grün Stadt Zürich, Gärtner*in Ref. 50017, 100% basis",EFZ_EXPERIENCED,CHF,GROSS,,,70000-82000,,,,SPECIFIC_POSTING_ONLY,EMPLOYER_TEXT_VIA_JOB_BOARD,https://ch.indeed.com/q-stadt-g%C3%A4rtner-jobs.html,Advertised gross annual range on a 100% basis; actual wage may vary with experience and competencies.
SALREF-PREMIUM-BILLMEYER-2026,ADVERTISED_SALARY_EXAMPLE,"Bill & Meyer Gartenbau AG, premium private gardens, Köniz",EFZ_TO_FOREMAN_CLIENT_GARDENER,CHF,UNKNOWN,5000-6500,UNKNOWN,,,,,SPECIFIC_POSTING_ONLY,JOB_BOARD_POSTING,https://www.jobs.ch/de/stellenangebote/detail/7d193948-ce89-433f-b06a-83aa39a0c0a1/,Do not annualise until number of payments and 100% workload basis are confirmed.
